election challenge	Trump had a very bad Friday in court with his election cases. They're headed for more action next week
election challenge	Trump puts Giuliani in charge of election lawsuits: report
pandemic	Vaccine czar calls on Trump to allow contact with Biden - Operation Warp Speed head warns thousands of lives at stake if project interrupted.
election challenge	Giuliani Time: Trump Taps Rudy To Lead Legal Challenges That Are Going Nowhere
election challenge	\u2018Huge Loss\u2019: Trump Loses Two Pennsylvania Mail-in Ballot Cases within Hours
election general	"""Beyond irresponsible: Republicans must put Americans and reality ahead of fealty to Trump | Republicans are embarrassing America. It's past time to admit Trump lost, congratulate Biden, stop spouting misinformation and move on to a transition."""
domestic policy/politics	Republicans try packing the Fed before Trump exits
domestic policy/politics	Trump Could Lose Far More Than the White House
election challenge	"""Trump\u2019s Post-Election Power Grab Isn\u2019t Just Selfish, It\u2019s Dangerous to Democracy"""
election challenge	Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities
election general	Resurfaced Clips Show Donald Trump Saying 306 Electoral Votes Is a 'Landslide' in 2016 After Biden Wins Same Amount in 2020
domestic policy/politics	Amend the Constitution to Prevent Another Trump
domestic policy/politics	"""Trump to face \u2018subpoenas and seizures\u2019 following presidency, ex-Manhattan prosecutor says"""
pandemic	Trump Says New York Won\u2019t Get Vaccine Right Away Because He\u2019s a Petty Little Bitch
domestic policy/politics	"""The $15 Minimum Wage Won in Florida, But Biden Didn't. Here's Why \u2014 Activists say the key was actually talking about working-class issues."""
election challenge	Trump\u2019s far-fetched legal campaign to question the election seems to be falling apart
domestic policy/politics	"""Biden is considering Janet Yellen for Treasury Secretary, potentially making her the first woman to hold the role: report"""
pandemic	U.S. could see 13 million more COVID cases before Biden is sworn in as president
pandemic	New York attorney general threatens Trump with lawsuit if he denies state access to \u2018life-saving\u2019 vaccine
domestic policy/politics	"""After $15 billion and 450 miles, Joe Biden will halt border wall, Trump\u2019s signature project"""
domestic policy/politics	Trump to rush drilling leases in Arctic before Biden takes over
pandemic	"""Before Biden inauguration, 70,000 more could die from COVID-19 in the U.S."""
domestic policy/politics	Trump rails against Georgia Gov. Kemp for consent decree aimed at helping minority voters
election general	Bush v. Gore Lawyer Tells Federalist Society That 2020 Election \u2018Is Over\u2019 \u2014 It's time to accept Joe Biden as the president-elect.
election general	Philadelphia suburbs return with a vengeance to oust Trump
election challenge	Trump Camp Forced To Shut Down Absurd Voter Fraud Hotline Due To Ceaseless Prank Calls
pandemic	"""US sees record 184,000 new daily Covid cases as Trump politicises vaccine effort"""
election general	"""\u2018They know their vote matters\u2019: the Georgia Senate runoffs battle is already on | Trump\u2019s defeat in the reliably red state has shown Democratic voters the power of their ballot, activists say as they focus on Ossoff and Warnock\u2019s races"""
election challenge	Rudy Giuliani is reportedly taking charge in Trump's election legal battles \u2014 and Twitter is having a field day with it
domestic policy/politics	John Kelly says Trump hurting national security by delaying Biden transition
election general	"""With final races called, Biden ends with 306 Electoral College votes, Trump 232: Edison Research"""
election challenge	Trump Taps Giuliani to Lead Election Lawsuits After Disastrous Day of Losses
election challenge	Trump's Voter Fraud Claims Are Now Being Debunked By His Own Government
election challenge	AP Fact Check: Trump tweets a tall tale of \u2018deleted\u2019 votes
pandemic	Trump says coronavirus vaccine won't be delivered to New York
domestic policy/politics	Christiane Amanpour compares Trump administration \u2018assault on values\u2019 to Kristallnacht
pandemic	President Trump threatens to withhold COVID-19 vaccine from New York in new feud with Governor Cuomo
domestic policy/politics	"""John King: If Trump thinks 2016 was a landslide, 2020 is as well"""
election general	"""Joe Biden Declared Winner in Georgia, Taking Electoral College Tally to 306"""
election general	"""By Team Trump's standards, Biden has now won in a 'landslide'"""
election challenge	Trump Takes Credit For 'Most Secure Election Ever' But Says It Was 'Rigged'
domestic policy/politics	"""Biden likely to break barriers, pick woman to lead Pentagon"""
election challenge	"""Trump Almost Admits He Lost Election, Says 'Time Will Tell'"""
election general	Trump forced to drop \u2018voter fraud\u2019 hotline after it was swamped by prank calls from teenagers on TikTok
pandemic	Chelsea Clinton blames Trump for Secret Service officers in quarantine
domestic policy/politics	White House Press Secretary Kayleigh McEnany Wildly Exaggerates Trump March Crowd Size
election challenge	New York Times: Rudy Giuliani put in charge of Trump's election lawsuits after series of losses
domestic policy/politics	Biden plans to reach across the aisle \u2013 but is he walking into a Republican trap?
election general	GOP leaders in 4 states quash dubious Trump bid on electors
pandemic	"""Joe Biden Calls on Americans to 'Step Up,' Wear a Mask and Social Distance as COVID Spikes"""
election general	Joe Biden Has Won Georgia. He\u2019s The First Democrat To Win The State In Decades.
foreign relations	"""Pompeo\u2019s meetings in France to be held in \u2018complete transparency\u2019 with Biden team, says Macron"""
election general	"""Biden wins Georgia as Trump continues unsupported fraud claims, secures North Carolina | U.S. president-elect's legal team confident Georgia recount won't change results"""
domestic policy/politics	The purge at the Pentagon - The potential for sudden troop withdrawals should spur Congress to curtail Trump\u2019s powers in his final weeks as president.
election challenge	The Trump Campaign Can\u2019t Find a Judge Who Will Ignore Facts \u2014 but It\u2019s Trying
domestic policy/politics	White House press secretary Kayleigh McEnany insists that Trump will attend 'his own' inauguration in January
domestic policy/politics	"""In Trump\u2019s final days, a 30-year-old aide purges officials seen as insufficiently loyal"""
election challenge	Trump supporters chant 'Four more years!'; at Washington rally as he pushes false election claims
election challenge	Trump Campaign Gets Laughed Out Of Court For Claiming A Bunch Of Unvetted Webform Submissions Is 'Evidence' Of Voter Fraud
pandemic	Trump wavers between reality and election fiction with eye on his legacy during Rose Garden vaccine address
domestic policy/politics	"""Trump, for once, listened when aides told him to lay low"""
domestic policy/politics	"""With 'Irrevocable Injustice' on the Line, Democratic Lawmakers Demand Trump Admin Put Brakes on Federal Killing Spree"""
election general	How hate for Trump may have triumphed over love for Biden \u2014 and Trump
election general	Sore loser or victim? Trump voters struggle with president\u2019s role in defeat.
domestic policy/politics	Trump cheered as motorcade drives through far-right \u2018Million MAGA March\u2019 rally in DC
election challenge	Trump campaign files election lawsuit at wrong court in latest blunder
election challenge	Arizona Election Witness Confesses to Being Trump Campaign Lawyer's Business Partner in Court
domestic policy/politics	Biden\u2019s Education Department Will Move Fast to Reverse Betsy DeVos\u2019s Policies
foreign relations	Trump\u2019s Men in Moscow - Russian Media Revels in Trump\u2019s Nonsensical Claims of Fraud as Enemies of Democracy Reap Propaganda Harvest.
election general	Biden solidifies win with Georgia victory as Trump appears to hint at presidency changing hands
election general	"""With final races called, Biden takes 306 Electoral College votes, Trump 232: Edison Research"""
pandemic	The US president-elect is interested in Australia's COVID-19 response. This is what Scott Morrison sent Joe Biden's team
election general	Biden\u2019s victory came from the suburbs
pandemic	More than 130 Secret Service officers are said to be infected with coronavirus or quarantining in wake of Trump\u2019s campaign travel
domestic policy/politics	'Self-pardon' no protection for Trump from cases awaiting his presidency's end
election challenge	President Trump taps Rudy Giuliani to take over election legal fight | Prior lawyers pulled out of a federal lawsuit in Pennsylvania FridAY.
election general	Nearly the whole world considers Biden president-elect
election general	White men swung to Biden. Trump made gains with Black and Latino voters. Why?
election general	"""Trump bolts presser as reporters yell, \""""When will you admit you lost the election?\"""""""
election challenge	"""Mr. President, Pack Your Bags and Be Gone | Trump wants to preserve, protect and defend only himself."""
domestic policy/politics	"""Out Of Sight And Going Out Of His Mind. Hold Up in the White House, Trump Rages; Finally, He Feels Shame"""
domestic policy/politics	"""Donald Trump, Kellyanne Conway\u2019s \u2018Landslide\u2019 Boasts Come Back To Haunt Them"""
domestic policy/politics	Deb Haaland: \u2018Of Course\u2019 I\u2019d Be Interested In Being Biden\u2019s Interior Secretary - Tribal leaders are urging the president-elect to make history by picking the Native American congresswoman to oversee public lands
election challenge	Watch Trump Get Really Close to Admitting He Lost the Election
domestic policy/politics	Trump administration pushes to sell Alaska oil leases pre-Biden inauguration
domestic policy/politics	"""King: If Trump thinks 2016 was a landslide, 2020 is as well"""
pandemic	"""Trump says \""""time will tell\"""" which administration handles COVID next, stopping short of formal concession"""
domestic policy/politics	"""The far right is cracking up, as their violent fantasies of Trump's fascist takeover evaporate. QAnon, the Proud Boys and white nationalist groups flail around helplessly as twilight falls on the Trump era"""
election challenge	"""Pennsylvania court rejects five Trump campaign, GOP legal challenges to ballots"""
election challenge	Another law firm bails out on Trump campaign
domestic policy/politics	Donald Trump wants to run the Republican party even if he leaves office. Can he?
domestic policy/politics	3 scholars say Trump isn\u2019t staging a coup \u2014 but he still poses a threat to democracy
election challenge	Law firm Porter Wright withdraws from representing Trump in Pennsylvania case
domestic policy/politics	"""Trump \""""determined\"""" to make Biden transition \""""as turbulent as possible,\"""" former NSC McMaster says"""
domestic policy/politics	"""Every day Trump refuses to get out of the way he puts our country in danger | Every Republican should be calling Trump out. No more coddling the crybaby, giving him time to come around. Our nation\u2019s best interests can\u2019t wait."""
pandemic	Fact-checking Trump\u2019s distortions and outright lies about the 2020 election and COVID-19 vaccine
domestic policy/politics	Yellen Under Consideration by Biden Team for Treasury Chief
domestic policy/politics	Discussion Thread: President Donald Trump\u2019s News Conference on Operation Warp Speed
election challenge	Law Firm Stops Representing Trump Campaign in Pennsylvania Suit
domestic policy/politics	Trump will remain President-elect Biden's greatest obstacle even after he takes office
domestic policy/politics	The crisis isn\u2019t Trump. It\u2019s the Republican Party.
election challenge	That\u2019s a Wrap: Biden Takes Georgia to End Nailbiter 2020 Election
election challenge	Trump Campaign Lawyer Comically Filed Election Lawsuit in Court That Had No Authority to Hear the Case
pandemic	130 Secret Service officers enter quarantine after testing positive for coronavirus or being exposed to Trump
election general	Meghan McCain to Trump: I like people who don\u2019t lose Arizona
pandemic	Trump urges Congress to pass a 'big and focused' coronavirus relief bill in 1st stimulus comments since losing the election
election challenge	Top CEOs met to discuss Trump's refusal to concede to Biden
domestic policy/politics	Judge blasts Trump administration\u2019s \u201csloppy\u201d climate analysis in oil case
foreign relations	"""Europe's Populists Loved Trump, Now They Are Dropping Him Hard"""
election challenge	"""Obama hits Trump for refusing to concede, says there's 'no legal basis' for challenges"""
election general	Bolton urges Republicans: \u2018Acknowledge the reality that Biden is the president-elect\u2019
election challenge	Lou Dobbs demands GOP help Trump fight for 'what is rightfully his'
election challenge	Second Major Law Firm Representing Trump in Election Lawsuits Abandons Ship
election general	Joe Biden Becomes First Democrat to Win Arizona's Maricopa County Since Truman
election challenge	Trump\u2019s attempts to challenge the election results suffer further setbacks
election challenge	"""Bye, Bye, \u2018Sharpiegate\u2019: Trump Campaign Hastily Retreats from Conspiracy-Laden Lawsuit After Brutal Hearing"""
pandemic	The US has been breaking new COVID-19 case records on a daily basis while Trump shares unsubstantiated voter fraud claims on Twitter
election general	"""Trump won't run for president in 2024 because he's too scared to 'lose like this again,' says his niece Mary"""
domestic policy/politics	Newsmax chief says he\u2019d welcome Trump to his cable channel but \u2018we don\u2019t want to be Trump TV\u2019
domestic policy/politics	"""Final Trump Days Ripe for Settling Scores, Pardoning Allies"""
election challenge	"""Rebuking Trump, DHS cybersecurity agency says no evidence of deleted, changed votes"""
election general	"""\u2018I like people who don\u2019t lose Arizona\u2019: As Biden officially flips Arizona, Meghan McCain celebrates"""
domestic policy/politics	What Happens to Never Trump Republicans Now?
domestic policy/politics	Angus King calls Trump's refusal to share intel with Joe Biden \u2018dangerous for national security\u2019
election challenge	Republican Congressman Says Donald Trump Has Boarded the 'Crazy Train' With His Election Claims
pandemic	130 Secret Service Officers Are in Quarantine or Have COVID After Trump\u2019s Reckless Campaign
election challenge	Donald Trump keeps baselessly claiming voter fraud in cities. But suburbs actually lost him the election
domestic policy/politics	Biden's toughest foreign policy challenge may be regaining allies' trust
election challenge	"""Fox News' Chris Wallace dismisses network reporter's claim that Trump's \""""winning even as he's losing\"""""""
pandemic	The Death Toll of Donald Trump\u2019s Delay Tactics | Tens of thousands may die between now and President-elect Joe Biden\u2019s inauguration.
pandemic	"""Biden's team says he will get daily briefings from his COVID-19 coordinator, unlike Trump who often blanks his task force for weeks"""
election challenge	How Trump\u2019s Voter Fraud War Room Became a Fart-Infused \u2018Room From Hell\u2019
election challenge	"""Trump asked aides if he could pursue a wild plan to replace the electoral college with loyalists who would ignore the vote, report says"""
domestic policy/politics	Chris Hayes Explains How The GOP Is Already Setting 'Booby Traps' For Biden | All In | MSNBC
election challenge	Trump supporters gather in Washington as president refuses to concede to Biden
pandemic	Trump: New York will get coronavirus vaccine last because of Cuomo\u2019s comments
domestic policy/politics	Biden is bringing back the daily briefing. Here's who is likely to be at the podium.
domestic policy/politics	The secret weapon in Biden's fight against climate change
election general	Donald Trump hints at Joe Biden taking office as he speaks publicly for the first time since defeat
election challenge	"""Trump loses election lawsuits in Pennsylvania and Michigan, drops Arizona case"""
domestic policy/politics	Trump\u2019s media favorites battle for the Trump trophy
domestic policy/politics	Heads roll as Trump launches post-election purge
election challenge	Obama Warns Of \u2018Dangerous Path\u2019 With GOPers Refusing To Accept Trump\u2019s Defeat
domestic policy/politics	Candidate Trump decried the national debt in 2016 and promised to eliminate it. It's only gotten bigger.
pandemic	"""No US national lockdown despite surging Covid cases, says Biden adviser | Instead, the administration will try to target the regions hit hardest"""
domestic policy/politics	Controversial Trump Fed board pick Judy Shelton gets closer to confirmation
domestic policy/politics	Lawrence: \u2018It\u2019s All Over\u2019 For William Barr &amp; Donald Trump | The Last Word | MSNBC
domestic policy/politics	Rebuilding Trump's Broken Global Tech Policy Won't Be Easy
domestic policy/politics	Joe Biden's Options To Combat Climate Change
election challenge	Voters in six states getting phone calls from pro-Trump \u2018voter integrity\u2019 group
election challenge	Trump keeps making arguments about the election on Twitter that he won't make in court
domestic policy/politics	Biden considers Hillary Clinton for UN ambassador role
election challenge	Trump supporters gather in Washington as he pushes false election claims
domestic policy/politics	"""Biden camp hopes to get past Republican fear of Trump, McConnell stonewalling"""
pandemic	Biden aide says no U.S.-wide COVID lockdown planned as West Coast states advise against travel
election general	"""Biden takes Arizona, first Democrat to win there since 1996"""
election general	"""The election is over, we do have a new president\u2019: Lawyer who successfully argued Bush v Gore says Trump should accept defeat | Ted Olson said the constitution \u2018works pretty well at the end of the day\u2019 because it means \u2018flawed individuals\u2019 will get voted out"""
domestic policy/politics	Trump Supporters Descend On Washington For Events Contesting Biden's Victory
election challenge	Law firm withdraws from Trump election suit in Pennsylvania
domestic policy/politics	Van Jones: President Trump is strapping the country onto his own kamikaze plane
domestic policy/politics	\u2018Time will tell\u2019: US President Trump hints at departure
election challenge	Trump putting democracy to the test after his loss to Biden
pandemic	Trump says New York State won't get first batch of vaccines due to Governor Cuomo
election challenge	Republican candidates follow Trump's lead not to concede in their races
domestic policy/politics	Trump Is No Longer Even Pretending To Care About His Job
election challenge	Time is running out for President Trump's election challenges
election challenge	"""'Abuse of the rule of law': 1,000 ex-judges, legal experts slam Trump's false claims of voter fraud"""
domestic policy/politics	"""As Soon as Trump Leaves Office, He Faces Greater Risk of Prosecution The president is more vulnerable than ever to an investigation into his business practices and taxes."""
domestic policy/politics	Biden set to roll back Trump rules on abortion
election challenge	Trump lawyers withdraw from key Pennsylvania case challenging vote count
election challenge	\u2018Fox &amp; Friends\u2019 Host Steve Doocy Debunks Trump\u2019s Dominion Voter Fraud Conspiracy Pushed by Fox Stars
pandemic	Trump\u2019s White House is \u2018hollowed out\u2019 due to coronavirus as president spews misinformation and acts on impulse A wave of coronavirus infections in the west wing is leaving the president alone at a critical moment as he continues to lie about the results of the 2020 US election
election general	\u2018306\u2019: Dems tease Trump with projected Biden win which he once called a landslide
domestic policy/politics	The Cult Myth: Why Trumpism Won't Disappear with Trump
domestic policy/politics	A senator who could become Biden's attorney general said breaking up Google should be 'on the table'
election general	"""In Arizona, the final votes and the final call go for Biden"""
domestic policy/politics	Bolton: Republican leaders need to explain to voters that Trump lost
election challenge	Obama says Trump has caused \u2018damage\u2019 by refusing to concede defeat and warns: \u2018This is not normal\u2019
domestic policy/politics	"""Exactly four years ago, Trump got his first top-secret intelligence briefing 7 days after election win\u2014Biden still hasn't"""
election general	Biden won places that are thriving. Trump won ones that are hurting.
pandemic	Trump hasn't attended a coronavirus task force meeting in five months and is taking no role in combatting the surge in the disease
election general	Trump admits for first time that Biden won the election
pandemic	Fauci: 'It would be better' if government health officials could start working with incoming Biden-Harris administration
election challenge	"""Trump admits Biden won, falsely claims election was 'rigged'"""
domestic policy/politics	Obama throws cold water on a Biden cabinet post: 'Michelle would leave me'
election general	US election results: Donald Trump admits Biden 'won' for first time
election challenge	"""\""""Trump just conceded\"""": Reactions follow president's \""""he won because\"""" tweet"""
election challenge	Obama says it's 'disappointing' more Republicans aren't challenging Trump over election results
domestic policy/politics	MAGA rally: One stabbing and at least 20 arrests as Trump supporters descend on DC
pandemic	"""DC Trump Supporter Bar Gets $1,000 Fine for Maskless Crowds"""
domestic policy/politics	"""Memo to Trump: \""""The biggest fraud in America continues to be you\"""""""
election challenge	Bernie Sanders says Trump denying election results 'beyond belief in terms of behavior for an American president'
election general	Pompeo calls for respecting elections abroad while ignoring Biden victory
domestic policy/politics	Jim Acosta says Trump will just be another 'crackpot' on internet after Jan. 20
election general	Public Pressure And Lawsuits Kept USPS From Handing Trump The Election. Here\u2019s How.
domestic policy/politics	"""Trump's acting DHS secretary was unlawfully appointed and didn't have the authority to suspend DACA, a federal judge ruled"""
election challenge	"""Trump Tweets That Biden Won Election, Says Vote Was \u2018Rigged\u2019"""
election general	"""Opposing Bush v. Gore Attorneys Say Biden Clearly Won the Election, 'No Resemblance' to 2000 Dispute"""
pandemic	Dr. Fauci: Trump hasn\u2019t attended a coronavirus task force meeting in \u2018several months\u2019
election general	Republican Arkansas governor: 'I expect Joe Biden to be the next president of the United States'
domestic policy/politics	"""Trump counties make up just 29 percent of U.S. economic output, 2020 election study shows"""
domestic policy/politics	Biden promised a 'railroad revolution' that could see faster trains and a return to Amtrak's nostalgic past \u2014 here's what Americans might see
election general	Trump Tweets Out a Casual Concession After Long Insisting He Won
pandemic	Cuomo says Trump is 'incompetent' and 'irrelevant' after vaccine threat
pandemic	Health department shuts down pro-Trump rally in Milwaukee
election challenge	John Bolton says GOP leaders need to tell voters that Trump lost and dismiss his 'baseless' election fraud claims
election general	"""Trump tweets \""""mail-in elections are a sick joke,\"""" as conservative groups encourage mail-in voting in Georgia Senate runoffs"""
election general	'It's critical' for Republican leaders to explain to voters Trump lost the election: John Bolton
election challenge	"""What Does Trump Get Out of Contesting Biden\u2019s Win? The election was not close, and the President\u2019s claims of voter fraud are merely a distraction from his many recent failures."""
election challenge	Trump Admits Biden Won Election but Quickly Takes it Back
election challenge	Trump Is Not Doing Well With His Election Lawsuits. Here\u2019s a Rundown.
pandemic	Biden advisers to meet vaccine firms as Trump stalls handoff
election general	Trump \u2018has told aides he\u2019ll announce 2024 candidacy as soon as Biden certified winner\u2019
pandemic	Biden task force member: 'We are entering this period that I call COVID hell'
domestic policy/politics	Feinstein Calls on GOP to Stop Seating Trump Judges in Lame Duck
election challenge	No Self-Respecting Lawyer Should Touch Trump\u2019s Election-Fraud Claims
election general	The Electoral College is not going to give Trump a second term
domestic policy/politics	Ohio GOP governor says Trump should begin transition process amid legal battles
election challenge	Trump begging emails raise questions about 'stolen election' slush fund
domestic policy/politics	"""The Best Thing About a Trump Loss Is Stephen Miller Leaving the White House: Just about everyone\u2014conservatives, progressives, libertarians\u2014should be glad to say goodbye to this cruel approach to immigration policy."""
domestic policy/politics	Jeh Johnson: Trump administration's refusal to aid transition a 'disservice to our national security'
domestic policy/politics	"""Biden Likely to Stump in Georgia for Senate Runoffs, Aide Says"""
pandemic	"""Biden chief of staff: All Americans, state and local governments 'need to step up right now' on pandemic"""
election challenge	Donald Trump Wants You to Know That He Definitely Did Not Just Concede the Election
domestic policy/politics	Profiles in cowardice: Trump's Senate enablers
election challenge	Trump in tweet says Biden 'won' but reiterates false claim election was rigged
election challenge	"""Harvard law professor: Trump's challenges to election results 'dangerous,' and 'going to fail'"""
domestic policy/politics	Trump learns an old Hollywood truth: It sucks to get cancelled
election general	"""Pennsylvania Won\u2019t Need a Recount to Certify Biden Victory, State Says"""
pandemic	Laugh? We nearly all died \u2013 why my US failed state Twitter thread went viral | The final throes of the Trump presidency exposed America as the bad joke \u2013 and danger to the world \u2013 it has certainly become
domestic policy/politics	"""'Joe's a blue-collar guy': After years of declining power, union leaders look to Biden"""
election general	"""Native American Voters Were Crucial To Joe Biden\u2019s Victory | \u201cThe overwhelming turnout in tribal communities in the state of Arizona was key,\u201d said Navajo Nation president Jonathan Nez"""
pandemic	"""As Trump ignores deepening coronavirus crisis, Biden calls for urgent response"""
domestic policy/politics	"""Trump encourages D.C. police to \""""not hold back\"""" as violence erupts after \""""Million MAGA March\"""""""
foreign relations	"""After Trump, foreign allies wonder if they can trust America, say former officials"""
domestic policy/politics	"""As D.C. Clashes Erupt, Trump Sics Police On 'Antifa Scum' In Stunningly Vicious Tweet"""
pandemic	Incoming Biden chief of staff warns transition delay puts vaccine distribution at risk
election challenge	US election: Trump appears to admit Biden victory in tweet
pandemic	Trump also refuses to admit he lost the fight against the coronavirus
domestic policy/politics	Susan Rice: Trump administration not helping Biden transition poses national security threat
election general	Trump edges closer to conceding the election
domestic policy/politics	'Victory': Federal Judge Invalidates Latest Trump Effort to Kill DACA
domestic policy/politics	Twitter might not ban Trump. But we should still ignore him.
domestic policy/politics	GOP Governors Suggest That Trump Stop Delaying Biden\u2019s Formal Transition Process
election general	Michigan counties wrapping up canvases this week. That\u2019s bad news for Trump.
election challenge	"""Kellyanne Conway and Donald Trump said they won by a 'landslide' with 306 Electoral College votes in 2016. Now that Biden has 306, they're crying foul."""
election challenge	Obama says it's 'disappointing' that more Republicans aren't standing up to Trump over election results
election challenge	More than 8 in 10 Trump voters think Biden\u2019s win is not legitimate: Trump\u2019s efforts to undermine the system are influencing his base
domestic policy/politics	Trump Supporters Mocked For \u2018Million MAGA March\u2019
domestic policy/politics	Incoming chief of staff: \u201cTrump\u2019s Twitter feed doesn\u2019t make Joe Biden president or not president\u201d
domestic policy/politics	President-elect Joe Biden knows the pain of grief \u2014 and that makes him the leader America needs right now
election challenge	Trump Accidentally Acknowledged Biden Won The Election \u2014 Then Tried To Take It Back
election general	"""Lawyers on Both Sides of Bush v. Gore Agree: Joe Biden Clearly Won the 2020 Election. \u201cThe sooner that Trump and his supporters accept the election result, the better it will be for the nation.\u201d"""
foreign relations	"""Fifteen Asia-Pacific economies formed the world's largest free trade bloc on Sunday, a China-backed deal that excludes the United States; The countries abandoned a rival Asia-Pacific grouping formed under Obama which Trump exited in 2017"""
election challenge	Donald Trump says Joe Biden 'won' election; but also says he won't concede
domestic policy/politics	"""\""""Were not going to stop\"""": Lawmakers press ahead with Trump-era investigations"""
election general	"""Republican leaders in Arizona, Michigan, Pennsylvania and Wisconsin throw cold water on ploy to flip electors to Trump"""
foreign relations	Trump Destroyed Any Hope Of Israeli-Palestinian Peace \u2014 And Biden Can't Rebuild It
election challenge	Trump\u2019s refusal to concede creates tricky messaging issue for Ga. Republicans
domestic policy/politics	Trump is putting this country through something unprecedented. Here are three scenarios.
domestic policy/politics	There\u2019s a lot Biden can do for rural America. Red-state leaders should accept his help.
election challenge	John Bolton Urges Republicans To Publicly Reject Trump's 'Baseless' Voter Fraud Claims
election challenge	Trump indirectly admits he lost the presidential election by tweeting Biden 'won because the election was rigged'
election challenge	'Frankly embarrassing': Tapper breaks down Trump's lawsuits alleging voter fraud
domestic policy/politics	Obama said he won't serve in Biden's cabinet because Michelle would 'leave' him
election general	Sharpton: Trump's loss is 'a result of the American people assessing for themselves his performance in the last four years'
pandemic	"""Cuomo threatens to sue Trump administration if vaccine plan burdens Black, Brown communities"""
election challenge	Trump tweets that Biden 'won' \u2013 but repeats baseless vote fraud claim
election challenge	"""Trump acknowledges Biden 'won' the U.S. election, but says it was 'rigged'"""
pandemic	Fauci says Trump administration should start working with President-elect Biden on coronavirus response
election challenge	Fox News\u2019 Leland Vittert Goes at It With Trump Spox Over Voter Fraud Claims
election challenge	Trump says Biden 'won' while promoting election conspiracy theories
domestic policy/politics	"""Multiple people arrested at pro-Trump protests, Million MAGA March in DC"""
election general	Obama addresses Trump transition in first interview since election
domestic policy/politics	Trump Administration Ending Like it Began: Lying About Crowd Size
domestic policy/politics	"""Trump's post-presidency is going to be boisterous and belligerent. And that will cause headaches for Biden, the media, and the US economy."""
domestic policy/politics	\u2018Dreamer\u2019 immigration protections will be reinstated by Joe Biden on \u2018day one:\u2019 Incoming chief of staff Ron Klain
pandemic	Cuomo says NY will sue if Trump's vaccine plan lacks equal access for communities of color
domestic policy/politics	"""Trump\u2019s latest defense shakeup \u2018destructive,\u2019 Bolton says - Former national security adviser John Bolton said the recent firings of top officials at the Pentagon, NSA and DHS will be damaging to the incoming administration."""
domestic policy/politics	"""Trump rally shut down in Milwaukee, man attacked"""
election general	Moore: Trump is 'a little grouchy' over election results
